Entity,Year,Oats yield
Africa,1961,0.7976589
Africa,1962,0.9206854
Africa,1963,0.878988
Africa,1964,0.95131105
Africa,1965,0.90212154
Africa,1966,0.7673272
Africa,1967,1.1394097
Africa,1968,0.994752
Africa,1969,0.80499166
Africa,1970,0.93043727
Africa,1971,0.84651953
Africa,1972,0.82864493
Africa,1973,0.83538747
Africa,1974,0.936246
Africa,1975,0.9701588
Africa,1976,0.9108722
Africa,1977,0.5991022
Africa,1978,0.76645553
Africa,1979,0.8006885
Africa,1980,0.8290483
Africa,1981,0.7854955
Africa,1982,0.8620891
Africa,1983,0.8506481
Africa,1984,0.7655743
Africa,1985,0.72647756
Africa,1986,0.8739879
Africa,1987,0.768291
Africa,1988,0.7093034
Africa,1989,0.84302104
Africa,1990,0.8714706
Africa,1991,1.1108282
Africa,1992,0.8150513
Africa,1993,0.7886478
Africa,1994,1.0411856
Africa,1995,0.8356095
Africa,1996,1.1440389
Africa,1997,0.86402684
Africa,1998,0.8542267
Africa,1999,0.8123595
Africa,2000,0.83041817
Africa,2001,1.0290807
Africa,2002,1.0998894
Africa,2003,1.0972272
Africa,2004,1.186789
Africa,2005,1.1574687
Africa,2006,1.1206183
Africa,2007,1.0832309
Africa,2008,0.95209414
Africa,2009,1.2190886
Africa,2010,1.2943184
Africa,2011,1.5024905
Africa,2012,1.3468168
Africa,2013,1.4392759
Africa,2014,1.0973153
Africa,2015,1.2124646
Africa,2016,1.1809382
Africa,2017,1.0334575
Africa,2018,1.5623832
Africa,2019,1.2574228
Africa,2020,1.346925
Africa,2021,1.2809451
Africa,2022,1.1224359
Africa,2023,1.3414167
Africa (FAO),1961,0.79770005
Africa (FAO),1962,0.9207001
Africa (FAO),1963,0.87900007
Africa (FAO),1964,0.9513
Africa (FAO),1965,0.9021
Africa (FAO),1966,0.7673
Africa (FAO),1967,1.1394001
Africa (FAO),1968,0.99480003
Africa (FAO),1969,0.80500007
Africa (FAO),1970,0.9304001
Africa (FAO),1971,0.84650004
Africa (FAO),1972,0.8286
Africa (FAO),1973,0.83540004
Africa (FAO),1974,0.9362001
Africa (FAO),1975,0.97020006
Africa (FAO),1976,0.91090006
Africa (FAO),1977,0.5991
Africa (FAO),1978,0.76650006
Africa (FAO),1979,0.80070007
Africa (FAO),1980,0.82900006
Africa (FAO),1981,0.78550005
Africa (FAO),1982,0.8621
Africa (FAO),1983,0.8506
Africa (FAO),1984,0.7656
Africa (FAO),1985,0.72650003
Africa (FAO),1986,0.874
Africa (FAO),1987,0.7683
Africa (FAO),1988,0.70930004
Africa (FAO),1989,0.84300005
Africa (FAO),1990,0.8715
Africa (FAO),1991,1.1108001
Africa (FAO),1992,0.8151
Africa (FAO),1993,0.78870004
Africa (FAO),1994,1.0412
Africa (FAO),1995,0.8356
Africa (FAO),1996,1.144
Africa (FAO),1997,0.864
Africa (FAO),1998,0.85420007
Africa (FAO),1999,0.81240004
Africa (FAO),2000,0.83040005
Africa (FAO),2001,1.0291001
Africa (FAO),2002,1.0999001
Africa (FAO),2003,1.0972
Africa (FAO),2004,1.1868001
Africa (FAO),2005,1.1575
Africa (FAO),2006,1.1206
Africa (FAO),2007,1.0832
Africa (FAO),2008,0.95210004
Africa (FAO),2009,1.2191
Africa (FAO),2010,1.2943001
Africa (FAO),2011,1.5025
Africa (FAO),2012,1.3468001
Africa (FAO),2013,1.4393001
Africa (FAO),2014,1.0973
Africa (FAO),2015,1.2125001
Africa (FAO),2016,1.1809001
Africa (FAO),2017,1.0335001
Africa (FAO),2018,1.5624001
Africa (FAO),2019,1.2574
Africa (FAO),2020,1.3469001
Africa (FAO),2021,1.2809001
Africa (FAO),2022,1.1224
Africa (FAO),2023,1.3414001
Albania,1961,0.60450006
Albania,1962,0.7735
Albania,1963,0.54670006
Albania,1964,0.68780005
Albania,1965,0.688
Albania,1966,0.95000005
Albania,1967,1.0054001
Albania,1968,1
Albania,1969,1.0263001
Albania,1970,1.0263001
Albania,1971,1.0500001
Albania,1972,0.95000005
Albania,1973,1.0628
Albania,1974,1.2207
Albania,1975,1.2676
Albania,1976,1.2857
Albania,1977,1.3333001
Albania,1978,1.4000001
Albania,1979,1.4000001
Albania,1980,1.5000001
Albania,1981,1.5000001
Albania,1982,1.5000001
Albania,1983,1.5000001
Albania,1984,1.5000001
Albania,1985,1.5000001
Albania,1986,1.5000001
Albania,1987,1.5000001
Albania,1988,1.5000001
Albania,1989,1
Albania,1990,0.75000006
Albania,1991,0.75000006
Albania,1992,0.94040006
Albania,1993,1.2252
Albania,1994,1.7354001
Albania,1995,1.2090001
Albania,1996,1.2089001
Albania,1997,1.1713
Albania,1998,1.5962
Albania,1999,1.32
Albania,2000,1.4673002
Albania,2001,1.4299
Albania,2002,1.6555
Albania,2003,1.4803001
Albania,2004,1.8189001
Albania,2005,1.7381
Albania,2006,1.6897
Albania,2007,1.6212001
Albania,2008,1.5683001
Albania,2009,1.9231001
Albania,2010,1.95
Albania,2011,2.3107002
Albania,2012,2.16
Albania,2013,1.9853002
Albania,2014,2.1317
Albania,2015,2.0548
Albania,2016,2.1718001
Albania,2017,2.2136002
Albania,2018,2.1083002
Albania,2019,2.1128001
Albania,2020,2.2888002
Albania,2021,2.1842
Albania,2022,2.2703001
Albania,2023,2.3061001
Algeria,1961,0.3958
Algeria,1962,0.6542
Algeria,1963,0.6873
Algeria,1964,0.72040004
Algeria,1965,0.5563
Algeria,1966,0.16800001
Algeria,1967,0.7216
Algeria,1968,0.6783
Algeria,1969,0.6567
Algeria,1970,0.6261
Algeria,1971,0.569
Algeria,1972,0.6031
Algeria,1973,0.57570004
Algeria,1974,0.65300006
Algeria,1975,0.9035
Algeria,1976,0.7509001
Algeria,1977,0.38560003
Algeria,1978,0.60520005
Algeria,1979,0.6161
Algeria,1980,0.6747
Algeria,1981,0.5746
Algeria,1982,0.5308
Algeria,1983,0.47770002
Algeria,1984,0.5141
Algeria,1985,0.7799001
Algeria,1986,0.6511
Algeria,1987,0.5773
Algeria,1988,0.27460003
Algeria,1989,0.52590007
Algeria,1990,0.50320005
Algeria,1991,0.96930003
Algeria,1992,0.7523
Algeria,1993,0.5376
Algeria,1994,0.46570003
Algeria,1995,0.7201
Algeria,1996,1.1488001
Algeria,1997,0.66700006
Algeria,1998,0.7674001
Algeria,1999,0.85120004
Algeria,2000,0.55730003
Algeria,2001,0.87850004
Algeria,2002,0.75100005
Algeria,2003,1.0942
Algeria,2004,1.2034001
Algeria,2005,1.2658001
Algeria,2006,1.1861
Algeria,2007,1.1235001
Algeria,2008,0.6301
Algeria,2009,1.2498001
Algeria,2010,1.2428001
Algeria,2011,1.2921001
Algeria,2012,1.2869
Algeria,2013,1.3499001
Algeria,2014,0.87310004
Algeria,2015,1.0016
Algeria,2016,0.9416
Algeria,2017,0.72900003
Algeria,2018,1.5253001
Algeria,2019,1.3050001
Algeria,2020,1.1128001
Algeria,2021,0.93500006
Algeria,2022,1.0125
Algeria,2023,0.95000005
Americas (FAO),1961,1.4276
Americas (FAO),1962,1.6405001
Americas (FAO),1963,1.6467
Americas (FAO),1964,1.5573001
Americas (FAO),1965,1.7579001
Americas (FAO),1966,1.6398001
Americas (FAO),1967,1.6696
Americas (FAO),1968,1.8451
Americas (FAO),1969,1.8662001
Americas (FAO),1970,1.7824001
Americas (FAO),1971,1.9609001
Americas (FAO),1972,1.8130001
Americas (FAO),1973,1.728
Americas (FAO),1974,1.6403002
Americas (FAO),1975,1.7451
Americas (FAO),1976,1.7175001
Americas (FAO),1977,1.9475001
Americas (FAO),1978,1.8356
Americas (FAO),1979,1.8700001
Americas (FAO),1980,1.8639001
Americas (FAO),1981,1.8959001
Americas (FAO),1982,2.0404
Americas (FAO),1983,1.8371
Americas (FAO),1984,1.9576001
Americas (FAO),1985,2.1185
Americas (FAO),1986,2.0737
Americas (FAO),1987,1.9706001
Americas (FAO),1988,1.6529001
Americas (FAO),1989,1.8997
Americas (FAO),1990,2.0668
Americas (FAO),1991,1.7892001
Americas (FAO),1992,2.0937
Americas (FAO),1993,2.0851002
Americas (FAO),1994,2.0666
Americas (FAO),1995,2.0363002
Americas (FAO),1996,2.232
Americas (FAO),1997,2.1024
Americas (FAO),1998,2.2107
Americas (FAO),1999,2.2329
Americas (FAO),2000,2.2875001
Americas (FAO),2001,2.0951002
Americas (FAO),2002,2.0283
Americas (FAO),2003,2.2704
Americas (FAO),2004,2.407
Americas (FAO),2005,2.2876003
Americas (FAO),2006,2.2736
Americas (FAO),2007,2.4237
Americas (FAO),2008,2.6444001
Americas (FAO),2009,2.5451002
Americas (FAO),2010,2.5067
Americas (FAO),2011,2.6707
Americas (FAO),2012,2.5600002
Americas (FAO),2013,2.9880002
Americas (FAO),2014,2.7477
Americas (FAO),2015,2.7543
Americas (FAO),2016,3.0074
Americas (FAO),2017,2.924
Americas (FAO),2018,2.8809001
Americas (FAO),2019,2.9956002
Americas (FAO),2020,2.8379
Americas (FAO),2021,2.3803
Americas (FAO),2022,3.0723002
Americas (FAO),2023,2.5268002
Argentina,1961,1.1731
Argentina,1962,1.1831
Argentina,1963,1.307
Argentina,1964,1.4126
Argentina,1965,1.1415
Argentina,1966,1.3094001
Argentina,1967,1.33
Argentina,1968,1.1056
Argentina,1969,1.2981
Argentina,1970,1.2012
Argentina,1971,1.3305
Argentina,1972,1.4196
Argentina,1973,1.4217
Argentina,1974,1.1588001
Argentina,1975,1.2817
Argentina,1976,1.3838001
Argentina,1977,1.3256
Argentina,1978,1.3520001
Argentina,1979,1.2732
Argentina,1980,1.2386
Argentina,1981,1.1357
Argentina,1982,1.5613002
Argentina,1983,1.4463001
Argentina,1984,1.6509001
Argentina,1985,1.2012
Argentina,1986,1.5865
Argentina,1987,1.5071001
Argentina,1988,1.2655001
Argentina,1989,1.5016
Argentina,1990,1.5403001
Argentina,1991,1.5403001
Argentina,1992,1.3377
Argentina,1993,1.6143001
Argentina,1994,1.4384001
Argentina,1995,1.3791001
Argentina,1996,1.2177
Argentina,1997,1.2557
Argentina,1998,1.7689002
Argentina,1999,1.5955001
Argentina,2000,1.6438001
Argentina,2001,1.9198002
Argentina,2002,1.8336
Argentina,2003,1.6678001
Argentina,2004,1.5037
Argentina,2005,1.8403001
Argentina,2006,1.5308001
Argentina,2007,1.7603002
Argentina,2008,2.1067
Argentina,2009,1.3717
Argentina,2010,1.3058001
Argentina,2011,2.3200002
Argentina,2012,2.1158001
Argentina,2013,1.9057001
Argentina,2014,1.9673002
Argentina,2015,2.1458
Argentina,2016,2.3094
Argentina,2017,2.4450002
Argentina,2018,2.2514
Argentina,2019,2.4001002
Argentina,2020,1.8618002
Argentina,2021,2.0945
Argentina,2022,2.0731
Argentina,2023,1.6665001
Armenia,1992,1.1860001
Armenia,1993,0.75000006
Armenia,1994,0.75000006
Armenia,1995,1
Armenia,1996,0.9961
Armenia,1997,0.7519001
Armenia,1998,1.4233001
Armenia,1999,1.2379001
Armenia,2000,0.63920003
Armenia,2001,1.6334001
Armenia,2002,1.7786001
Armenia,2003,1.2774001
Armenia,2004,2.0045002
Armenia,2005,1.1649001
Armenia,2006,1.0884001
Armenia,2007,2.1274
Armenia,2008,1.8950001
Armenia,2009,1.9919001
Armenia,2010,1.8125001
Armenia,2011,2.3926003
Armenia,2012,2.5014
Armenia,2013,2.3609
Armenia,2014,3.0103002
Armenia,2015,3.0764
Armenia,2016,2.7675002
Armenia,2017,1.7897
Armenia,2018,2.3043
Armenia,2019,1.4332
Armenia,2020,1.9506
Armenia,2021,0.89570004
Armenia,2022,2.2176
Armenia,2023,1.9773002
Asia,1961,1.017037
Asia,1962,0.8372599
Asia,1963,1.057312
Asia,1964,1.129875
Asia,1965,1.1330279
Asia,1966,1.0497246
Asia,1967,1.1278318
Asia,1968,1.1088775
Asia,1969,0.9692945
Asia,1970,1.0623512
Asia,1971,1.0613468
Asia,1972,0.953979
Asia,1973,0.9747011
Asia,1974,1.1922917
Asia,1975,1.3469372
Asia,1976,1.5316699
Asia,1977,1.3055847
Asia,1978,1.4130365
Asia,1979,1.5949315
Asia,1980,1.5528592
Asia,1981,1.6157597
Asia,1982,1.656301
Asia,1983,1.6730773
Asia,1984,1.7847934
Asia,1985,1.7811236
Asia,1986,1.5091377
Asia,1987,1.4172137
Asia,1988,1.4409623
Asia,1989,1.4372855
Asia,1990,1.8064227
Asia,1991,1.498423
Asia,1992,1.7528874
Asia,1993,1.6238924
Asia,1994,1.7808566
Asia,1995,1.4131267
Asia,1996,1.6532484
Asia,1997,1.822388
Asia,1998,1.9172721
Asia,1999,2.0537376
Asia,2000,1.8129479
Asia,2001,1.8543246
Asia,2002,1.6728153
Asia,2003,1.9744033
Asia,2004,1.7545443
Asia,2005,2.2704663
Asia,2006,1.4860135
Asia,2007,1.970183
Asia,2008,1.9733225
Asia,2009,2.228604
Asia,2010,1.9736282
Asia,2011,2.9602392
Asia,2012,2.1468904
Asia,2013,2.2841527
Asia,2014,2.0613503
Asia,2015,2.1299815
Asia,2016,2.2687848
Asia,2017,2.1696758
Asia,2018,2.2147188
Asia,2019,2.0659742
Asia,2020,2.2031136
Asia,2021,2.0290158
Asia,2022,2.3118963
Asia,2023,2.2826421
Asia (FAO),1961,1.0163001
Asia (FAO),1962,0.83720005
Asia (FAO),1963,1.0568001
Asia (FAO),1964,1.1287
Asia (FAO),1965,1.1331
Asia (FAO),1966,1.0495001
Asia (FAO),1967,1.1276001
Asia (FAO),1968,1.1087
Asia (FAO),1969,0.9692001
Asia (FAO),1970,1.0618001
Asia (FAO),1971,1.0610001
Asia (FAO),1972,0.9534001
Asia (FAO),1973,0.9739001
Asia (FAO),1974,1.1915001
Asia (FAO),1975,1.3467001
Asia (FAO),1976,1.5312
Asia (FAO),1977,1.3054001
Asia (FAO),1978,1.4128001
Asia (FAO),1979,1.5946001
Asia (FAO),1980,1.5525001
Asia (FAO),1981,1.6155001
Asia (FAO),1982,1.6561
Asia (FAO),1983,1.6728002
Asia (FAO),1984,1.7847
Asia (FAO),1985,1.7811
Asia (FAO),1986,1.5091001
Asia (FAO),1987,1.4174001
Asia (FAO),1988,1.4409001
Asia (FAO),1989,1.4371
Asia (FAO),1990,1.8063002
Asia (FAO),1991,1.4983001
Asia (FAO),1992,1.7529001
Asia (FAO),1993,1.6239
Asia (FAO),1994,1.7807001
Asia (FAO),1995,1.4130001
Asia (FAO),1996,1.6531
Asia (FAO),1997,1.8222001
Asia (FAO),1998,1.917
Asia (FAO),1999,2.0533001
Asia (FAO),2000,1.8127
Asia (FAO),2001,1.8539001
Asia (FAO),2002,1.6724001
Asia (FAO),2003,1.9733001
Asia (FAO),2004,1.7539
Asia (FAO),2005,2.2698002
Asia (FAO),2006,1.4864001
Asia (FAO),2007,1.9699001
Asia (FAO),2008,1.9729002
Asia (FAO),2009,2.2189
Asia (FAO),2010,1.9714001
Asia (FAO),2011,2.9594
Asia (FAO),2012,2.1467001
Asia (FAO),2013,2.2842
Asia (FAO),2014,2.0608
Asia (FAO),2015,2.1298
Asia (FAO),2016,2.2678
Asia (FAO),2017,2.1696002
Asia (FAO),2018,2.2146
Asia (FAO),2019,2.0655
Asia (FAO),2020,2.2024
Asia (FAO),2021,2.0286
Asia (FAO),2022,2.3116002
Asia (FAO),2023,2.2821002
Australia,1961,0.7982001
Australia,1962,0.9371
Australia,1963,0.90190005
Australia,1964,0.89800006
Australia,1965,0.7228
Australia,1966,1.1277
Australia,1967,0.52570003
Australia,1968,1.0914
Australia,1969,0.90700006
Australia,1970,1.0385001
Australia,1971,1.0277
Australia,1972,0.7397
Australia,1973,0.93640006
Australia,1974,0.97490007
Australia,1975,1.1549001
Australia,1976,1.0768001
Australia,1977,0.92050004
Australia,1978,1.2974001
Australia,1979,1.2564001
Australia,1980,1.0327
Australia,1981,1.1651
Australia,1982,0.69970006
